leg,theta_rad,x_m,y_m,z_m,eq_err
p04_l,0.000000,-0.706858,0.000000,-0.896431,6.38e-01
p04_l,0.017453,-0.722396,0.000000,-0.883958,6.38e-01
p04_l,0.034907,-0.737713,0.000000,-0.871216,6.38e-01
p04_l,0.052360,-0.752805,0.000000,-0.858209,6.38e-01
p04_l,0.069813,-0.767668,0.000000,-0.844940,6.38e-01
p04_l,0.087266,-0.782298,0.000000,-0.831413,6.38e-01
p04_l,0.104720,-0.796689,0.000000,-0.817634,6.38e-01
p04_l,0.122173,-0.810837,0.000000,-0.803605,6.38e-01
p04_l,0.139626,-0.824738,0.000000,-0.789332,6.38e-01
p04_l,0.157080,-0.838388,0.000000,-0.774818,6.38e-01
p04_l,0.174533,-0.851783,0.000000,-0.760068,6.38e-01
p04_l,0.191986,-0.864919,0.000000,-0.745086,6.38e-01
p04_l,0.209440,-0.877790,0.000000,-0.729878,6.38e-01
p04_l,0.226893,-0.890395,0.000000,-0.714447,6.38e-01
p04_l,0.244346,-0.902728,0.000000,-0.698799,6.38e-01
p04_l,0.261799,-0.914786,0.000000,-0.682938,6.38e-01
p04_l,0.279253,-0.926566,0.000000,-0.666868,6.38e-01
p04_l,0.296706,-0.938063,0.000000,-0.650596,6.38e-01
p04_l,0.314159,-0.949275,0.000000,-0.634126,6.38e-01
p04_l,0.331613,-0.960197,0.000000,-0.617462,6.38e-01
p04_l,0.349066,-0.970827,0.000000,-0.600610,6.38e-01
p04_l,0.366519,-0.981161,0.000000,-0.583575,6.38e-01
p04_l,0.383972,-0.991197,0.000000,-0.566363,6.38e-01
p04_l,0.401426,-1.000930,0.000000,-0.548978,6.38e-01
p04_l,0.418879,-1.010359,0.000000,-0.531426,6.38e-01
p04_l,0.436332,-1.019479,0.000000,-0.513711,6.38e-01
p04_l,0.453786,-1.028290,0.000000,-0.495841,6.38e-01
p04_l,0.471239,-1.036787,0.000000,-0.477819,6.38e-01
p04_l,0.488692,-1.044968,0.000000,-0.459652,6.38e-01
p04_l,0.506145,-1.052831,0.000000,-0.441345,6.38e-01
p04_l,0.523599,-1.060373,0.000000,-0.422903,6.38e-01
p04_l,0.541052,-1.067592,0.000000,-0.404333,6.38e-01
p04_l,0.558505,-1.074486,0.000000,-0.385639,6.38e-01
p04_l,0.575959,-1.081053,0.000000,-0.366828,6.38e-01
p04_l,0.593412,-1.087290,0.000000,-0.347905,6.38e-01
p04_l,0.610865,-1.093196,0.000000,-0.328876,6.38e-01
p04_l,0.628319,-1.098769,0.000000,-0.309747,6.38e-01
p04_l,0.645772,-1.104008,0.000000,-0.290524,6.46e-01
p04_l,0.663225,-1.108910,0.000000,-0.271212,6.63e-01
p04_l,0.680678,-1.113475,0.000000,-0.251818,6.81e-01
p04_l,0.698132,-1.117700,0.000000,-0.232346,6.98e-01
p04_l,0.715585,-1.121585,0.000000,-0.212804,7.16e-01
p04_l,0.733038,-1.125128,0.000000,-0.193198,7.33e-01
p04_l,0.750492,-1.128328,0.000000,-0.173532,7.50e-01
p04_l,0.767945,-1.131185,0.000000,-0.153814,7.68e-01
p04_l,0.785398,-1.133697,0.000000,-0.134048,7.85e-01
p04_l,0.802851,-1.135864,0.000000,-0.114242,8.03e-01
p04_l,0.820305,-1.137685,0.000000,-0.094401,8.20e-01
p04_l,0.837758,-1.139159,0.000000,-0.074532,8.38e-01
p04_l,0.855211,-1.140286,0.000000,-0.054639,8.55e-01
p04_l,0.872665,-1.141066,0.000000,-0.034730,8.73e-01
p04_l,0.890118,-1.141498,0.000000,-0.014810,8.90e-01
p04_l,0.907571,-1.141583,0.000000,0.005114,9.08e-01
p04_l,0.925025,-1.141320,0.000000,0.025036,9.25e-01
p04_l,0.942478,-1.140709,0.000000,0.044951,9.42e-01
p04_l,0.959931,-1.139751,0.000000,0.064853,9.60e-01
p04_l,0.977384,-1.138445,0.000000,0.084734,9.77e-01
p04_l,0.994838,-1.136793,0.000000,0.104590,9.95e-01
p04_l,1.012291,-1.134795,0.000000,0.124414,1.01e+00
p04_l,1.029744,-1.132451,0.000000,0.144200,1.03e+00
p04_l,1.047198,-1.129761,0.000000,0.163942,1.05e+00
p04_l,1.064651,-1.126728,0.000000,0.183634,1.06e+00
p04_l,1.082104,-1.123352,0.000000,0.203270,1.08e+00
p04_l,1.099557,-1.119633,0.000000,0.222844,1.10e+00
p04_l,1.117011,-1.115573,0.000000,0.242350,1.12e+00
p04_l,1.134464,-1.111174,0.000000,0.261783,1.13e+00
p04_l,1.151917,-1.106436,0.000000,0.281136,1.15e+00
p04_l,1.169371,-1.101361,0.000000,0.300403,1.17e+00
p04_l,1.186824,-1.095950,0.000000,0.319579,1.19e+00
p04_l,1.204277,-1.090206,0.000000,0.338657,1.20e+00
p04_l,1.221730,-1.084130,0.000000,0.357632,1.22e+00
p04_l,1.239184,-1.077723,0.000000,0.376498,1.24e+00
p04_l,1.256637,-1.070988,0.000000,0.395250,1.26e+00
p04_l,1.274090,-1.063927,0.000000,0.413881,1.27e+00
p04_l,1.291544,-1.056542,0.000000,0.432386,1.29e+00
p04_l,1.308997,-1.048835,0.000000,0.450759,1.31e+00
p04_l,1.326450,-1.040808,0.000000,0.468995,1.33e+00
p04_l,1.343904,-1.032464,0.000000,0.487088,1.34e+00
p04_l,1.361357,-1.023806,0.000000,0.505033,1.36e+00
p04_l,1.378810,-1.014836,0.000000,0.522824,1.38e+00
p04_l,1.396263,-1.005557,0.000000,0.540456,1.40e+00
p04_l,1.413717,-0.995972,0.000000,0.557923,1.41e+00
p04_l,1.431170,-0.986083,0.000000,0.575220,1.43e+00
p04_l,1.448623,-0.975894,0.000000,0.592342,1.45e+00
p04_l,1.466077,-0.965407,0.000000,0.609283,1.47e+00
p04_l,1.483530,-0.954627,0.000000,0.626039,1.48e+00
